"LandkreisId","Population"
1001,90164
1002,246794
1003,216530
1004,80196
1051,133193
1053,198019
1054,165951
1055,200539
1056,316103
1057,128686
1058,274098
1059,201156
1060,277175
1061,131013
1062,244156
2000,1847253
3101,249406
3102,104291
3103,124371
3151,176523
3153,136292
3154,91297
3155,132285
3157,134801
3158,119622
3159,326041
3241,1157115
3251,217089
3252,148549
3254,275817
3255,70458
3256,121390
3257,157820
3351,179011
3352,198038
3353,254431
3354,48412
3355,184139
3356,113928
3357,163782
3358,140673
3359,204512
3360,92389
3361,137133
3401,77559
3402,49913
3403,169077
3404,165251
3405,76089
3451,124859
3452,189694
3453,170682
3454,326954
3455,98704
3456,137162
3457,170756
3458,130890
3459,358080
3460,142814
3461,88583
3462,56926
4011,567559
4012,113643
5111,621877
5112,498686
5113,582760
5114,227417
5116,261034
5117,170632
5119,210764
5120,111338
5122,159245
5124,355100
5154,312465
5158,485570
5162,451730
5166,298863
5170,459976
5314,329673
5315,1087863
5316,163729
5334,557026
5358,264638
5362,470615
5366,193656
5370,255555
5374,272057
5378,283271
5382,600764
5512,117565
5513,259645
5515,315293
5554,371339
5558,220586
5562,614137
5566,448220
5570,277840
5711,334195
5754,364938
5758,250578
5762,140251
5766,347514
5770,310409
5774,307839
5911,365587
5913,588250
5914,188686
5915,179916
5916,156449
5954,324106
5958,259777
5962,410222
5966,133955
5970,276944
5974,301785
5978,394891
6411,159878
6412,763380
6413,130280
6414,278474
6431,270340
6432,297844
6433,275726
6434,236914
6435,420552
6436,238558
6437,96703
6438,355813
6439,187160
6440,308339
6531,270688
6532,253319
6533,171912
6534,247084
6535,105643
6611,202137
6631,223145
6632,120719
6633,236764
6634,179673
6635,156406
6636,100629
7111,114052
7131,130086
7132,128805
7133,158345
7134,80951
7135,61375
7137,214434
7138,182811
7140,103163
7141,122297
7143,201904
7211,111528
7231,112483
7232,99058
7233,60646
7235,149398
7311,48762
7312,100030
7313,46881
7314,172253
7315,218578
7316,53264
7317,40231
7318,50561
7319,83542
7320,34193
7331,129687
7332,132671
7333,75325
7334,129013
7335,105979
7336,70219
7337,110521
7338,154609
7339,211417
7340,94831
8111,635911
8115,392807
8116,535024
8117,258145
8118,545423
8119,427248
8121,126592
8125,344456
8126,112655
8127,196761
8128,132399
8135,132777
8136,314025
8211,55185
8212,312060
8215,445101
8216,231420
8221,161485
8222,310658
8225,143633
8226,548355
8231,125957
8235,159201
8236,199556
8237,118243
8311,231195
8315,263601
8316,166408
8317,430953
8325,139878
8326,212506
8327,140766
8335,286305
8336,228736
8337,171003
8415,287034
8416,228678
8417,189363
8421,126790
8425,197076
8426,201282
8435,217470
8436,285424
8437,130849
9161,137392
9162,1484226
9163,63551
9171,111516
9172,105929
9173,127917
9174,154899
9175,143649
9176,132881
9177,138182
9178,180007
9179,219311
9180,88424
9181,120302
9182,100010
9183,115872
9184,350473
9185,97303
9186,128227
9187,261330
9188,136667
9189,177319
9190,135478
9261,73411
9262,52803
9263,47791
9271,119478
9272,78362
9273,123058
9274,159895
9275,192656
9276,77410
9277,121502
9278,101120
9279,96683
9361,42207
9362,153094
9363,42743
9371,103049
9372,127998
9373,134573
9374,94450
9375,194070
9376,147872
9377,72046
9461,77373
9462,74783
9463,41072
9464,45825
9471,147163
9472,103664
9473,86747
9474,116203
9475,94801
9476,66743
9477,71566
9478,66776
9479,72655
9561,41798
9562,112528
9563,128497
9564,518370
9565,40981
9571,184591
9572,137262
9573,117853
9574,170792
9575,101014
9576,126749
9577,94734
9661,71002
9662,53426
9663,127934
9671,174200
9672,103235
9673,79635
9674,84384
9675,91155
9676,128743
9677,126158
9678,115445
9679,162302
9761,296582
9762,44398
9763,69151
9764,44100
9771,134655
9772,253468
9773,96562
9774,127027
9775,175204
9776,81981
9777,141182
9778,145341
9779,133783
9780,156008
41,328714
42,103243
43,131408
44,194319
45,142196
46,87007
1000,3669491
2051,72184
2052,99678
2053,57751
2054,180334
2060,185244
2061,170791
2062,101827
2063,162996
2064,195751
2065,212914
2066,109371
2067,178803
2068,98861
2069,216566
2070,76158
2071,113720
2072,169997
2073,118947
3003,209191
3004,95653
3071,258074
3072,215794
3073,224702
3074,157322
3075,235623
3076,211779
4511,246334
4521,334948
4522,304099
4523,225997
4524,315002
4612,556780
4625,299758
4626,252725
4627,241717
4628,245586
4713,593145
4729,258139
4730,197741
5001,80103
5002,238762
5003,237565
5081,83173
5082,158486
5083,170923
5084,178846
5085,213310
5086,89589
5087,134942
5088,183815
5089,189125
5090,111190
5091,124953
6051,213981
6052,93125
6053,111343
6054,36789
6055,65228
6056,42250
6061,100006
6062,83416
6063,118974
6064,102232
6065,74212
6066,124916
6067,134908
6068,69427
6069,63197
6070,106249
6071,82156
6072,57717
6073,103199
6074,82950
6075,80312
6076,97398
6077,89393
